iter	MAE
0	0.821387641211	0.81773324292	0.7979171359
3	0.794684086
4	4	0.8075240255	5	0.8040500386	6	0.8010147357	7	0.797596413888	0.790335471299	0.7869021991110	0.783857399511	0.7842980674
12	0.7813905028
13	0.7780132398
114	0.771202870715	0.7716478034
16	0.7683243967
117	0.761298751818	0.7617567212
19	0.7584084064
20	0.7553943843
21	0.7522152099
22	0.7490527633
23	0.7460206551
24	0.74292986
25	0.7396977164
26	0.7366303004
27	0.7336789886
28	0.7304599267
29	0.7273562511
30	0.7242080761
31	0.7212335594
32	0.7183281775
33	0.7152148489
34	0.7126430905
35	0.7095768491336	0.7069027762
3737	0.7010854493838	0.6984540153939	0.6955683404
40	0.6927419596
41	0.6897920252
42	0.6871463278
43	0.6843498815
44	0.6814640039
45	0.6788852796
46	0.676164174
47	0.6734131705
48	0.6706993549	49	0.6679886050	50	0.6654633251	0.66579986
52	0.6632775921
53	0.6606488885
54	0.6579277289
55	55	0.6525088056	0.6530077764
57	57	0.6473463258	58	0.6448052559	59	0.6424950560	60	0.6397572161	61	0.6372087962	62	0.634815306363	0.6322139606464	0.6297065206565	0.6273033806666	0.6246342866767	0.62240554968	0.6232691
69	0.69	0.61755170	0.70	0.61520571	0.71	0.6129863603
72	0.6103860899
73	0.60808474	0.74	0.6055825946
75	0.6029694414
76	0.6004977	0.677	0.5979578	0.578	0.5956479	0.579	0.5935280	0.580	0.5912781	0.581	0.5888882	0.82	0.58648883	0.83	0.58410384	0.84	0.58168285	0.85	0.57930486	0.86	0.57716887	0.87	0.57485388	0.88	0.5727589	0.589	0.5704190	0.572139325
91	0.5697802545
92	0.5692	0.563593	0.5693	0.561394	0.5633798546
95	0.595	0.5572596	0.596	0.5551397	0.597	0.5529198	0.5547976762
99	0.599	0.54859100	0.100	0.54651101	0.101	0.54436102	0.5460965654
103	0.5442432395
104	0.5420719804
105	0.5401316728
106	0.5382826222
107	0.5361971331
108	0.5341501825
109	0.5320922357
110	0.5302558463
111	0.5281193753
112	0.5261665047
113	0.5241261267
114	0.5220808622
115	0.5202577144
116	0.5181424319
117	0.5161094321
118	0.5139836424
119	0.5121309357
120	0.5103335043
121	0.5084206998
122	0.5066050347
123	0.504663618
124	0.5029087939
125	0.5010844766
126	0.4992228765
127	0.4971642062
128	0.4954012844
129	0.4937372358
130	0.4922142303
131	0.4903026667
132	0.4883571821
133	0.4863751976
134	0.4845113439
135	0.482641255
136	0.4809322412
137	0.4790204451
138	0.4771800205
139	0.4752778346
140	0.4734104838
141	0.4717257649
142	0.4700067745
143	0.468231187
144	0.4665800808
145	0.4649499446
146	0.4631556695
147	0.4614994111
148	0.4598966857
149	0.4581529831
150	0.456306384
151	0.4545856732
152	0.4531171621
153	0.4515379432
154	0.449745709
155	0.4482672413
156	0.4466002962
157	0.4449028089
158	0.4432905657
159	0.4416115255
160	0.4399955069
161	0.4383547283
162	0.43664214
163	0.4350480898
164	0.4334666272
165	0.4317863809
166	0.4301501266
167	0.4284040522
168	0.4267759349
169	0.4253569072
170	0.4236237756
171	0.4221107251
172	0.4204920153
173	0.4188698897
174	0.4172663298
175	0.41560416
176	0.414054918
177	0.4123682253
178	0.4109206046
179	0.4094138793
180	0.4078016955
181	0.406481409
182	0.4049416952
183	0.4034691043
184	0.4020078017
185	0.4006302435
186	0.3992713622
187	0.3977915654
188	0.3963451905
189	0.3949547484
190	0.3933850519
191	0.391961707
192	0.3905647814
193	0.3891329888
194	0.3877215165
195	0.3863104266
196	0.3849763272
197	0.3834469212
198	0.3821269984
199	0.3806731024
200	0.3791974845
201	0.3779949519
202	0.3765743719
203	0.3752116879
204	0.3739971167
205	0.3726690841
206	0.3713243074
207	0.3699480489
208	0.3687411779
209	0.3674157748
210	0.3662776045
211	0.3649788069
212	0.3637863431
213	0.3626160761
214	0.3614369013
215	0.3601843774
216	0.3589216336
217	0.3576577482
218	0.3564258286
219	0.3552170525
220	0.3538597178
221	0.3527051939
222	0.3516191548
223	0.3504449406
224	0.3491912213
225	0.3480334725
226	0.3469796399
227	0.3457099149
228	0.3444883868
229	0.3432096271
230	0.3419548754
231	0.3408066568
232	0.3396836018
233	0.338470707
234	0.3372799886
235	0.3362314795
236	0.3352218445
237	0.3341586571
238	0.3329973633
239	0.3318857755
240	0.3307183525
241	0.3295142296
242	0.3282417235
243	0.3270888627
244	0.3258590331
245	0.324837281
246	0.3237111168
247	0.3225722628
248	0.321457041
249	0.3202568227
250	0.3191729629
251	0.3180220907
252	0.3170259567
253	0.3159462993
254	0.3148836328
255	0.3137985843
256	0.3125975204
257	0.3113913087
258	0.3104654427
259	0.3095276121
260	0.3083821867
261	0.3074558899
262	0.3063414864
263	0.3053258074
264	0.3042800723
265	0.3033023313
266	0.3023502679
267	0.301482785
268	0.3004633734
269	0.2993776735
270	0.2982850175
271	0.2974093179
272	0.2964052708
273	0.2954865722
274	0.294524217
275	0.293533518
276	0.2924330731
277	0.2915481291
278	0.2906398446
279	0.2897782788
280	0.2887911924
281	0.2878207948
282	0.2868805315
283	0.2859627262
284	0.2850304244
285	0.2840879107
286	0.2831683986
287	0.2823584107
288	0.2813989342
289	0.2805800799
290	0.2797463694
291	0.27876117
292	0.277844666
293	0.2769388471
294	0.2759595709
295	0.2751296293
296	0.2742263314
297	0.273324832
298	0.2724012293
299	0.2715794661
300	0.2707738465
301	0.2698363899
302	0.2689861531
303	0.2682418056
304	0.2673628952
305	0.2665284364
306	0.2656944212
307	0.2649955177
308	0.2641329727
309	0.2634617651
310	0.2626472783
311	0.2617760397
312	0.2609127453
313	0.2600204256
314	0.2591394255
315	0.2583306965
316	0.2575525651
317	0.2567492404
