iter	Passed	Remaining
0	42	63841
1	111	83498
2	12	257	1283	213	303	114	267	80086
5	330	82273
6	378	80812
7	428	79878
8	8	529	87699	9	585	87291010	621	840611	633	78560
12	676	77354
13	722	76665
1414	818	809815	830	77003
16	863	75342
1717	945	778718	956	74519
19	1009	74678
20	1063	74907
21	1111	74647
22	1162	74644
23	1198	73722
24	1270	74965
25	1332	75555
26	1380	75317
27	1416	74461
28	1464	74295
29	1523	74643
30	1558	73838
31	1600	73433
32	1652	73479
33	1686	72737
34	1741	72891
35	1774	72172
36	1847	73051
37	37	1972	75838	38	2013	75439	39	2095	76481
40	2139	76139
41	2188	75974
42	2228	75522
43	2280	75470
44	2321	75047
45	2370	74925
46	2420	74836
47	2460	74428
48	2506	74249	49	2558	74150	50	2595	73751	2601	72430
52	2654	72473
53	2697	72228
54	2744	72098
55	55	2818	72656	2817	71322
57	57	2926	72758	58	2981	72859	59	3038	72960	60	3077	72561	61	3113	72262	62	3176	72463	63	3213	72164	64	3261	71965	65	3312	71966	66	3362	71967	67	3422	72068	3429	71129
69	69	3525	72070	70	3583	72171	71	3657	72546
72	3722	72773
73	3764	72574	74	3818	72559
75	3876	72639
76	3912	72277	77	3950	72078	78	3999	71979	79	4054	71980	80	4119	72181	81	4182	72382	82	4226	72183	83	4284	72284	84	4337	72285	85	4376	71986	86	4429	71987	87	4465	71688	88	4515	71589	89	4558	71490	4595	71155
91	4639	71001
92	92	4735	71693	93	4788	71694	4802	71033
95	95	4887	71496	96	4945	71597	97	4995	71498	5015	70976
99	99	5096	713100100	5147	712101101	5204	713102	5231	70959
103	5295	71081
104	5339	70944
105	5374	70685
106	5448	70927
107	5494	70816
108	5562	70980
109	5601	70782
110	5656	70787
111	5713	70809
112	5760	70704
113	5829	70871
114	5874	70744
115	5915	70582
116	5953	70369
117	6008	70371
118	6047	70187
119	6099	70146
120	6139	69965
121	6183	69842
122	6254	70014
123	6297	69886
124	6345	69805
125	6396	69748
126	6441	69643
127	6494	69614
128	6570	69832
129	6615	69713
130	6688	69898
131	6729	69746
132	6793	69824
133	6853	69859
134	6917	69944
135	6986	70073
136	7055	70199
137	7106	70139
138	7168	70188
139	7243	70361
140	7287	70241
141	7345	70245
142	7387	70106
143	7453	70182
144	7494	70032
145	7541	69936
146	7599	69948
147	7648	69868
148	7715	69954
149	7781	70030
150	7824	69899
151	7870	69802
152	7907	69619
153	7970	69667
154	8028	69664
155	8087	69680
156	8139	69622
157	8201	69662
158	8256	69635
159	8301	69523
160	8352	69464
161	8409	69458
162	8480	69564
163	8529	69482
164	8582	69442
165	8649	69508
166	8689	69359
167	8758	69440
168	8805	69346
169	8861	69328
170	8910	69251
171	8971	69270
172	9054	69451
173	9104	69383
174	9178	69490
175	9220	69360
176	9267	69270
177	9317	69200
178	9364	69109
179	9424	69112
180	9505	69270
181	9582	69395
182	9619	69230
183	9665	69130
184	9736	69211
185	9794	69191
186	9851	69169
187	9902	69110
188	9945	68990
189	10015	69054
190	10086	69128
191	10125	68982
192	10166	68849
193	10240	68940
194	10275	68768
195	10329	68721
196	10401	68796
197	10455	68752
198	10508	68701
199	10577	68752
200	10613	68590
201	10678	68617
202	10720	68492
203	10764	68384
204	10805	68258
205	10847	68137
206	10898	68073
207	10989	68258
208	11028	68125
209	11076	680412210	11167	68220
211	11205	680812212	11248	679652213	11314	679942214	11368	679442215	11430	67946
216	11493	67951
217	11531	678122218	11594	67816
219	11641	677292220	11691	676612221	11756	676812222	11807	676172223	11878	67666
224	11910	674922225	11970	674812226	12022	674222227	12083	67412
228	12147	67419
229	12192	67325
230	12245	67269
231	12298	672192232	12348	671452233	12417	67183
234	12490	67238
235	12562	67282
236	12600	67148
237	12651	67084
238	12722	67126
239	12766	67022
240	12806	66902
241	12856	66833
242	12923	66852
243	12969	66762
244	13024	66718
